SIRET;SIREN;NOMEN;NOMET;ETAT;CJ;SIEGE;PUB_PRIV;NATURE;DC;Libelle commune;DEP;REG;APET;A88;A17;EMPLOYEUR;Tranche d'effectif;latitude;longitude;result_label;result_score;result_score_next;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
19501302400011;195013024;COLLEGE PIERRE AGUITON;;1;7331;1;PUBLIC;1;50074;Br‚cey;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.873104;2.715674;Rue du Commandant Bres 77400 Lagny-sur-Marne;0.1601282434514638;0.15043123966942148;street;77243_0410;;Rue du Commandant Bres;Rue du Commandant Bres;77400;Lagny-sur-Marne;77, Seine-et-Marne, Île-de-France;77243;;;;ok
19501458400013;195014584;COLLEGE G.DESDEVISES DU DEZERT;;1;7331;1;PUBLIC;1;50267;Lessay;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;49.189096;-1.419331;Route de Lessay 50190 Périers;0.35833818181818183;0.3097975524475524;street;50394_0500;;Route de Lessay;Route de Lessay;50190;Périers;50, Manche, Normandie;50394;;;;ok
19501482400013;195014824;COLLEGE JULES FERRY;;1;7331;1;PUBLIC;1;50129;Cherbourg-en-Cotentin;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;49.634418;-1.626864;Cherbourg-en-Cotentin;0.5561741906873614;0.5049056643356643;municipality;50129;;Cherbourg-en-Cotentin;;50470;Cherbourg-en-Cotentin;50, Manche, Normandie;50129;;;;ok
19501525000010;195015250;COLLEGE LA CHAUSSONNIERE;;1;7331;1;PUBLIC;1;50025;Avranches;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.677709;-1.036049;Route d’Avranches 50520 Juvigny les Vallées;0.385485974025974;0.38182485893416923;street;50260_0040;;Route d’Avranches;Route d’Avranches;50520;Juvigny les Vallées;50, Manche, Normandie;50260;50318;Le Mesnil-Rainfray;;ok
19501677900017;195016779;LYCEE PROFESSIONNEL SAUXMARAIS;;1;7331;1;PUBLIC;1;50129;Cherbourg-en-Cotentin;50;28;8532Z;85;OQ;1;de 50 à 299 salariés;49.634418;-1.626864;Cherbourg-en-Cotentin;0.5561741906873614;0.5049056643356643;municipality;50129;;Cherbourg-en-Cotentin;;50470;Cherbourg-en-Cotentin;50, Manche, Normandie;50129;;;;ok
19501799100017;195017991;COLLEGE LUCIEN GOUBERT;;1;7331;1;PUBLIC;1;50184;Flamanville;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;49.548677;-1.866165;Le Bec 50340 Flamanville;0.41093878787878785;0.41023258064516127;street;50184_u47cw5;;Le Bec;Le Bec;50340;Flamanville;50, Manche, Normandie;50184;;;;ok
19501828800017;195018288;LYCEE GENERAL VICTOR GRIGNARD;;1;7331;1;PUBLIC;1;50129;Cherbourg-en-Cotentin;50;28;8531Z;85;OQ;1;de 50 à 299 salariés;49.634418;-1.626864;Cherbourg-en-Cotentin;0.5561741906873614;0.5049056643356643;municipality;50129;;Cherbourg-en-Cotentin;;50470;Cherbourg-en-Cotentin;50, Manche, Normandie;50129;;;;ok
19501830400012;195018304;COLLEGE LEON JOZEAU MARIGNE;;1;7331;1;PUBLIC;1;50256;Isigny-le-Buat;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.621834;-1.176212;Isigny-le-Buat;0.4594611229946524;0.3987869421487603;municipality;50256;;Isigny-le-Buat;;50540;Isigny-le-Buat;50, Manche, Normandie;50256;;;;ok
19501839500010;195018395;LYCEE GEN TECHNOLOGIQ SIVART DE BEAULI;;1;7331;1;PUBLIC;1;50099;Carentan-les-Marais;50;28;8531Z;85;OQ;1;de 50 à 299 salariés;49.309601;-1.217626;Carentan-les-Marais;0.5632903349282297;0.5135011798839457;municipality;50099;;Carentan-les-Marais;;50500;Carentan-les-Marais;50, Manche, Normandie;50099;;;;ok
19501850200011;195018502;LYCEE POLYVALENT MAURICE MARLAND;;1;7331;1;PUBLIC;1;50218;Granville;50;28;8531Z;85;OQ;1;de 50 à 299 salariés;48.83071;-1.57398;Granville;0.3827357680250783;0.3799203134796238;municipality;50218;;Granville;;50400;Granville;50, Manche, Normandie;50218;;;;ok
